Release_Date,Movie_Title,Production_Budget,Domestic_Gross,Worldwide_Gross
2019-04-23,Avengers: Endgame,400000000,858373000,2797800564
2011-05-20,Pirates of the Caribbean: On Stranger Tides,379000000,241071802,1045713802
2015-04-22,Avengers: Age of Ultron,365000000,459005868,1395316979
2015-12-16,Star Wars Ep. VII: The Force Awakens,306000000,936662225,2064615817
2018-04-25,Avengers: Infinity War,300000000,678815482,2044540523
2007-05-24,Pirates of the Caribbean: At World’s End,300000000,309420425,960996492
2017-11-13,Justice League,300000000,229024295,655945209
2015-06-10,Spectre,300000000,200074175,879500760
2019-12-18,Star Wars: The Rise of Skywalker,275000000,515202542,1072848487
2018-05-23,Solo: A Star Wars Story,275000000,213767512,393151347
2012-07-03,John Carter,263700000,73058679,282778100
2016-03-23,Batman v Superman: Dawn of Justice,263000000,330360194,872395091
2017-12-13,Star Wars Ep. VIII: The Last Jedi,262000000,620181382,1331635141
2010-11-24,Tangled,260000000,200821936,584899819
2007-04-05,Spider-Man 3,258000000,336530303,894860230
2016-04-22,Captain America: Civil War,250000000,408084349,1151918521
2009-07-15,Harry Potter and the Half-Blood Prince,250000000,302089278,929411069
2013-12-12,The Hobbit: The Desolation of Smaug,250000000,258241522,959358436
2014-10-12,The Hobbit: The Battle of the Five Armies,250000000,255119788,940389558
2017-07-04,The Fate of the Furious,250000000,225764765,1236703796
2021-09-29,No Time to Die,250000000,159740451,761155836
2009-12-17,Avatar,237000000,760507625,2845899541
2006-06-28,Superman Returns,232000000,200120000,391081192
2012-07-19,The Dark Knight Rises,230000000,448139099,1082228107
2017-05-23,Pirates of the Caribbean: Dead Men Tell No Tales,230000000,172558876,794861794
2008-11-14,Quantum of Solace,230000000,169368427,591692078
2006-06-07,Pirates of the Caribbean: Dead Man’s Chest,225000000,423315812,1066179725
2013-06-14,Man of Steel,225000000,291045518,667999518
2008-05-16,The Chronicles of Narnia: Prince Caspian,225000000,141621490,417341288
2013-02-07,The Lone Ranger,225000000,89302115,260002115
2012-06-27,The Amazing Spider-Man,220000000,262030663,757890267
2012-11-04,Battleship,220000000,65233400,313477717
2017-06-20,Transformers: The Last Knight,217000000,130168683,602893340
2015-09-06,Jurassic World,215000000,652306625,1669979967
2012-05-23,Men in Black 3,215000000,179020854,654213485
2009-06-24,Transformers: Revenge of the Fallen,210000000,402111870,836519699
2014-06-25,Transformers: Age of Extinction,210000000,245439076,1104054072
2006-05-26,X-Men: The Last Stand,210000000,234362462,459260946
2007-07-12,The Golden Compass,205000000,70107728,367262558
2020-08-26,Tenet,205000000,58456624,362403476
2018-02-13,Black Panther,200000000,700059566,1336494321
1997-12-18,Titanic,200000000,659363944,2207986545
2018-06-15,Incredibles 2,200000000,608581744,1242805359
2016-12-14,Rogue One: A Star Wars Story,200000000,532177324,1055135598
2016-06-16,Finding Dory,200000000,486295561,1025006125
2019-06-20,Toy Story 4,200000000,434038008,1073080329
2010-06-18,Toy Story 3,200000000,415004880,1068879522
2013-04-24,Iron Man 3,200000000,408992272,1215392272
2017-04-28,Guardians of the Galaxy Vol 2,200000000,389813101,869113101
2004-06-30,Spider-Man 2,200000000,373524485,794697557
2010-04-03,Alice in Wonderland,200000000,334191110,1025491110
2012-10-26,Skyfall,200000000,304360277,1110526981
2012-11-12,The Hobbit: An Unexpected Journey,200000000,303003568,1014938545
2013-06-21,Monsters University,200000000,268488329,743455810
2013-08-03,Oz the Great and Powerful,200000000,234770996,490359051
2014-05-21,X-Men: Days of Future Past,200000000,233921534,747862775
2014-04-16,The Amazing Spider-Man 2,200000000,202853933,708996336
2011-06-23,Cars 2,200000000,191450875,560155383
2021-07-07,Black Widow,200000000,183651655,375620803
2019-07-31,Fast & Furious Presents: Hobbs & Shaw,200000000,173956935,760381706
2010-12-17,Tron: Legacy,200000000,172062763,399866199
2009-12-11,2012,200000000,166112167,757677748
2018-11-14,Fantastic Beasts: The Crimes of Grindelwald,200000000,159555901,651280475
2021-03-11,Eternals,200000000,157435106,383781214
2009-05-21,Terminator Salvation,200000000,125322469,365491792
2011-06-17,Green Lantern,200000000,116601172,219535492
2010-05-28,Prince of Persia: Sands of Time,200000000,90759676,336359676
2019-05-06,Dark Phoenix,200000000,65845974,246356895
2020-02-28,Onward,200000000,61555145,133317030
2020-12-16,Wonder Woman 1984,200000000,46586274,166145470
2011-06-29,Transformers: Dark of the Moon,195000000,352390543,1123794079
2013-02-27,Jack the Giant Slayer,195000000,65187603,197687603
2015-01-04,Furious 7,190000000,353007020,1516881526
2013-05-16,Star Trek Into Darkness,190000000,228778661,467381584
2013-06-19,World War Z,190000000,202706711,531861650
2013-10-05,The Great Gatsby,190000000,144840419,353640419
2009-06-11,Disney’s A Christmas Carol,190000000,137855863,315709697
2013-11-07,Pacific Rim,190000000,101802906,411002906
2015-11-25,The Good Dinosaur,187500000,123087120,333771037
2008-02-05,Iron Man,186000000,318604126,585171547
2008-11-07,The Dark Knight,185000000,533720947,998615789
2008-05-22,Indiana Jones and the Kingdom of the Crystal Skull,185000000,317101119,786635413
2012-06-21,Brave,185000000,237282182,554606532
2017-02-23,Kong: Skull Island,185000000,168052812,561072059
2016-07-21,Star Trek Beyond,185000000,158848340,335673708
2019-10-17,Maleficent: Mistress of Evil,185000000,113929605,489346495
2017-09-29,Blade Runner 2049,185000000,92054159,258829058
2019-10-25,Terminator: Dark Fate,185000000,62253077,250372367
2021-07-28,The Suicide Squad,185000000,55800219,167250021
2017-10-25,Thor: Ragnarok,180000000,315058289,850482778
2005-09-12,The Chronicles of Narnia: The Lion the Witch a…,180000000,291710957,720539572
2014-05-28,Maleficent,180000000,241407328,758536735
2016-11-14,Fantastic Beasts and Where to Find Them,180000000,234037575,811724385
2008-06-27,WALL-E,180000000,223808164,532508025
2007-10-08,Rush Hour 3,180000000,140125968,256585882
2016-06-27,The Legend of Tarzan,180000000,126643061,348902025
2011-11-23,Hugo,180000000,73864507,180047784
2017-07-20,Valerian and the City of a Thousand Planets,180000000,40479370,215098356
2015-06-02,Jupiter Ascending,179000000,47482519,181982519
2018-07-16,Mission: Impossible—Fallout,178000000,220159104,787176729
2016-05-18,X-Men: Apocalypse,178000000,155442489,542537546
2018-09-08,The Meg,178000000,145443742,527370715
2014-05-28,Edge of Tomorrow,178000000,100206256,367028980
2019-06-03,Captain Marvel,175000000,426829839,1129727388
2015-12-06,Inside Out,175000000,356461711,853641066
2017-05-07,Spider-Man: Homecoming,175000000,334201140,880166350
2016-02-08,Suicide Squad,175000000,325100054,745744980
2009-05-28,Up,175000000,293004164,731463377
2017-10-27,Coco,175000000,210460015,797666425
2018-11-21,Ralph Breaks The Internet,175000000,201091711,529290830
2009-03-27,Monsters vs. Aliens,175000000,198351526,381687380
2017-06-16,Cars 3,175000000,152901115,383541369
2009-07-08,G.I. Joe: The Rise of Cobra,175000000,150201498,302469017
1999-06-30,Wild Wild West,175000000,113805681,221229335
2008-01-08,The Mummy: Tomb of the Dragon Emperor,175000000,102491776,405760225
2007-06-22,Evan Almighty,175000000,100289690,174131329
1995-07-28,Waterworld,175000000,88246220,264246220
2020-08-01,Dolittle,175000000,77047065,251409960
2017-11-05,King Arthur: Legend of the Sword,175000000,39175066,139630336
2013-06-12,47 Ronin,175000000,38362475,151716815
2018-06-06,Jurassic World: Fallen Kingdom,170000000,417719760,1308334005
2014-07-31,Guardians of the Galaxy,170000000,333714112,770882395
2010-07-05,Iron Man 2,170000000,312433331,621156389
2014-03-28,Captain America: The Winter Soldier,170000000,259746958,714401889
